,id,listing_url,latitude,longitude,neighbourhood_group_cleansed
487,7931180,https://www.airbnb.com/rooms/7931180,40.67965,-73.92994,Brooklyn
488,7922002,https://www.airbnb.com/rooms/7922002,40.72131,-73.98541,Manhattan
490,28838614,https://www.airbnb.com/rooms/28838614,40.72122,-73.75003,Queens
493,7950368,https://www.airbnb.com/rooms/7950368,40.71916,-73.95747,Brooklyn
494,7938424,https://www.airbnb.com/rooms/7938424,40.6805,-73.99238,Brooklyn
495,8047711,https://www.airbnb.com/rooms/8047711,40.72725,-73.95034,Brooklyn
497,7988491,https://www.airbnb.com/rooms/7988491,40.71273,-73.93617,Brooklyn
498,8067561,https://www.airbnb.com/rooms/8067561,40.65462,-73.95953,Brooklyn
500,860952695632753606,https://www.airbnb.com/rooms/860952695632753606,40.7132894,-73.9666592,Brooklyn
505,52566357,https://www.airbnb.com/rooms/52566357,40.73261,-73.95662,Brooklyn
506,52593840,https://www.airbnb.com/rooms/52593840,40.67737,-73.95596,Brooklyn
508,45599856,https://www.airbnb.com/rooms/45599856,40.81857,-73.94403,Manhattan
510,52619623,https://www.airbnb.com/rooms/52619623,40.85147,-73.9278,Manhattan
511,50068428,https://www.airbnb.com/rooms/50068428,40.71005,-73.95455,Brooklyn
512,49847910,https://www.airbnb.com/rooms/49847910,40.67111,-73.97221,Brooklyn
515,849085936171946701,https://www.airbnb.com/rooms/849085936171946701,40.68794,-73.97203,Brooklyn
516,50504090,https://www.airbnb.com/rooms/50504090,40.65823,-73.95602,Brooklyn
518,15158194,https://www.airbnb.com/rooms/15158194,40.83501,-73.93934,Manhattan
520,50658275,https://www.airbnb.com/rooms/50658275,40.68632,-73.92101,Brooklyn
522,998760962620102444,https://www.airbnb.com/rooms/998760962620102444,40.7518603,-73.9042688,Queens
524,50915627,https://www.airbnb.com/rooms/50915627,40.73867,-73.99878,Manhattan
